PLT_CN,prescription,template,entry_years,n_entries,cuts,regen_slot,stand_age,units,acres,owner_classes,counties,si_expanded_runs,keyfile_sha256_16
176548654010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,24.0,1,59.82421285320073,private_industrial,Hamilton,3,c3f46535e256b0e0
176548654010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,24.0,1,0.2223948433204488,local,Hamilton,3,0b79207e99397fc5
176548654010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,24.0,1,0.2223948433204488,local,Hamilton,3,8c036260dbf441eb
176548896010854,family_light_thin,thin_from_below,2032,1,True,,135.0,5,2999.661646706213,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,e2234cdbe7688beb
176548896010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,135.0,5,2999.661646706213,private_family,Baker;Columbia;Hamilton;Suwannee;Union,3,d94508f531373241
176548896010854,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,135.0,5,2469.6947350735836,private_industrial,Baker;Columbia;Hamilton;Suwannee;Union,3,1251f73683e0ad3b
176548896010854,no_management,no_management,,0,False,,135.0,21,6047.138184726323,federal;local;private_family;private_industrial;state,Baker;Columbia;Hamilton;Suwannee;Union,3,f6700861eb04a5b3
176548896010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,135.0,11,577.781802946526,federal;local;state,Baker;Columbia;Hamilton;Suwannee;Union,3,216417c511e12c6c
176548896010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,135.0,11,577.781802946526,federal;local;state,Baker;Columbia;Hamilton;Suwannee;Union,3,488b5fd2015f3630
176549308010854,family_light_thin,thin_from_below,2032,1,True,,95.0,1,0.2223948433204488,private_family,Hamilton,3,05e685e894887e61
176549308010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,95.0,1,0.2223948433204488,private_family,Hamilton,3,0a24f310f2784549
176549308010854,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,95.0,1,1.7791587465635903,private_industrial,Hamilton,3,c94441db1756a58c
176549308010854,no_management,no_management,,0,False,,95.0,2,2.001553589884039,private_family;private_industrial,Hamilton,3,1c9853ddf8dbb3dc
176859634010854,family_light_thin,thin_from_below,2032,1,True,,68.0,2,1.5567639032431415,private_family,Baker;Union,3,920e593c1c111b67
176859634010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,68.0,2,1.5567639032431415,private_family,Baker;Union,3,a8503edb0d01d269
176859634010854,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,68.0,2,8.895793732817951,private_industrial,Baker;Union,3,f1a9eec75edd87dc
176859634010854,no_management,no_management,,0,False,,68.0,5,11.119742166022439,local;private_family;private_industrial,Baker;Union,3,e40ab173b8dd8ba7
176859634010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,68.0,1,0.6671845299613464,local,Baker,3,e02f16d78b7649f3
176859634010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,68.0,1,0.6671845299613464,local,Baker,3,d0f594971ec6b55d
176859705010854,family_light_thin,thin_from_below,2032,1,True,,34.0,4,2086.730814875771,private_family,Baker;Columbia;Suwannee;Union,3,c690fd9f981d2fd4
176859705010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,34.0,4,2086.730814875771,private_family,Baker;Columbia;Suwannee;Union,3,0d49bb8a2de32628
176859705010854,no_management,no_management,,0,False,,34.0,13,3293.2228398892057,federal;local;private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,098a8e15d79d94b4
176859705010854,pine_plantation_long_rotation,clearcut,2027,1,True,planted_pine_regen,34.0,10,2759.2528210768082,private_family;private_industrial;state,Baker;Columbia;Suwannee;Union,3,d44c395c92ce6cf0
176859705010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,34.0,4,657.8439465418875,private_industrial,Baker;Columbia;Suwannee;Union,3,d44c395c92ce6cf0
176859705010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,34.0,5,548.6480784715471,federal;local;state,Columbia;Suwannee;Union,3,0a196e362c204fa0
176859705010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,34.0,5,548.6480784715471,federal;local;state,Columbia;Suwannee;Union,3,5d9d3d271d1935c3
176859781010854,family_light_thin,thin_from_below,2032,1,True,,25.0,3,888.022609378552,private_family,Columbia;Suwannee;Union,3,4bf6883d7b758728
176859781010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,25.0,3,888.022609378552,private_family,Columbia;Suwannee;Union,3,437e6f1bf8b6acda
176859781010854,no_management,no_management,,0,False,,25.0,11,1179.5822489716604,federal;local;private_family;private_industrial;state,Columbia;Suwannee;Union,3,8c4247a1b2eb3600
176859781010854,pine_plantation_long_rotation,plantation_rotation,2027;2032,2,True,planted_pine_regen,25.0,8,1150.0037348100407,private_family;private_industrial;state,Columbia;Suwannee;Union,3,520174124a25f405
176859781010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,25.0,3,198.3762002418403,private_industrial,Columbia;Suwannee;Union,3,e2652cf4beff37eb
176859781010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,25.0,5,93.18343935126804,federal;local;state,Columbia;Suwannee,3,c3f32be1dbee1e23
176859781010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,25.0,5,93.18343935126804,federal;local;state,Columbia;Suwannee,3,494368879643c310
176859785010854,family_light_thin,thin_from_below,2032,1,True,,86.0,2,1.5567639032431415,private_family,Columbia;Suwannee,3,862d9da7492db367
176859785010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,86.0,2,1.5567639032431415,private_family,Columbia;Suwannee,3,9cb9933e1016f1d1
176859785010854,no_management,no_management,,0,False,,86.0,2,1.5567639032431415,private_family,Columbia;Suwannee,3,de2d0080da97fce6
176859834010854,hardwood_clearcut_regen,clearcut,2027,1,True,hardwood_regen,107.0,1,0.6671845299613464,private_industrial,Baker,3,c2c89bc3ddc3b63a
176859834010854,no_management,no_management,,0,False,,107.0,1,0.6671845299613464,private_industrial,Baker,3,d6f56a21a33aa311
176860041010854,family_light_thin,thin_from_below,2032,1,True,,15.0,1,0.8895793732817951,private_family,Baker,3,aef2ee184720503b
176860041010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,15.0,1,0.8895793732817951,private_family,Baker,3,39d2d07aaf95a55e
176860041010854,hardwood_clearcut_regen,clearcut,2057,1,True,hardwood_regen,15.0,1,0.6671845299613464,private_industrial,Baker,3,7fb9f1a18d9151cc
176860041010854,no_management,no_management,,0,False,,15.0,2,1.5567639032431415,private_family;private_industrial,Baker,3,d63985fb99f63f39
176860080010854,family_light_thin,thin_from_below,2032,1,True,,41.0,3,41.587835700923925,private_family,Columbia;Hamilton;Suwannee,3,56b1134709b11e4c
176860080010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,41.0,3,41.587835700923925,private_family,Columbia;Hamilton;Suwannee,3,55781879b1b8aed6
176860080010854,hardwood_clearcut_regen,clearcut,2032,1,True,hardwood_regen,41.0,2,12.009321539304235,private_industrial,Hamilton;Suwannee,3,cc06bae00b7cbc2e
176860080010854,no_management,no_management,,0,False,,41.0,7,54.2643417701895,local;private_family;private_industrial;state,Columbia;Hamilton;Suwannee,3,92199e292cb171eb
176860080010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,41.0,2,0.6671845299613464,local;state,Hamilton;Suwannee,3,76fbcd99c2711771
176860080010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,41.0,2,0.6671845299613464,local;state,Hamilton;Suwannee,3,c2ff940a8336b749
176860101010854,family_light_thin,thin_from_below,2032,1,True,,29.0,2,219.94850004392384,private_family,Columbia;Suwannee,3,1a32a7227f5b4954
176860101010854,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,True,,29.0,2,219.94850004392384,private_family,Columbia;Suwannee,3,9aeb1970bba4e59e
176860101010854,no_management,no_management,,0,False,,29.0,6,264.6498635513341,local;private_family;private_industrial,Columbia;Suwannee,3,cf7b79a2be92fb06
176860101010854,pine_plantation_long_rotation,plantation_rotation,2027;2032,2,True,planted_pine_regen,29.0,4,263.0930996480909,private_family;private_industrial,Columbia;Suwannee,3,d4d2292bd08d5ad5
176860101010854,pine_plantation_short_rotation,clearcut,2027,1,True,planted_pine_regen,29.0,2,43.14459960416707,private_industrial,Columbia;Suwannee,3,6a08efa2fb15c03c
176860101010854,public_selection_light,selection_harvest,2032;2042;2052;2062,4,True,,29.0,2,1.5567639032431415,local,Columbia;Suwannee,3,e8f9e05e8886be4b
176860101010854,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,True,,29.0,2,1.5567639032431415,local,Columbia;Suwannee,3,a6be528d191c4ac8
