unit_id,tm_id,PLT_CN,county,owner_class,owner_name,OWN_CODE,forest_branch,FORTYPCD,ForTypName,acres,stand_age,prescription,template,entry_years,n_entries,first_entry_year,last_entry_year,cuts,regen_slot,collapsed_to_no_management,notes,params
TM24508_Columbia_O6,24508,176860474010854,Columbia,federal,Federal,6,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,25.0,no_management,no_management,,0,,,False,,False,,
TM43049_Suwannee_O4,43049,374860902489998,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,520,Mixed upland hardwoods,0.2223948433204488,16.0,hardwood_clearcut_regen,clearcut,2057,1,2057.0,2057.0,True,hardwood_regen,False,unrefined,year=2057
TM43049_Suwannee_O4,43049,374860902489998,Suwannee,private_industrial,Corporate/Other Private,4,hardwood,520,Mixed upland hardwoods,0.2223948433204488,16.0,no_management,no_management,,0,,,False,,False,unrefined,
TM64375_Suwannee_O8,64375,638334307126144,Suwannee,local,Local,8,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,73.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM64375_Suwannee_O8,64375,638334307126144,Suwannee,local,Local,8,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,73.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM64375_Suwannee_O8,64375,638334307126144,Suwannee,local,Local,8,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,73.0,no_management,no_management,,0,,,False,,False,,
TM64383_Suwannee_O8,64383,638334339126144,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,21.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM64383_Suwannee_O8,64383,638334339126144,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,21.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM64383_Suwannee_O8,64383,638334339126144,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,21.0,no_management,no_management,,0,,,False,,False,,
TM36941_Suwannee_O8,36941,289515964489998,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,58.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM36941_Suwannee_O8,36941,289515964489998,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,58.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM36941_Suwannee_O8,36941,289515964489998,Suwannee,local,Local,8,other,407,Slash pine / hardwood,0.2223948433204488,58.0,no_management,no_management,,0,,,False,,False,,
TM35215_Columbia_O3,35215,259082814010854,Columbia,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM35215_Columbia_O3,35215,259082814010854,Columbia,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM35215_Columbia_O3,35215,259082814010854,Columbia,private_family,Family Forest,3,hardwood,609,Baldcypress / pondcypress,0.2223948433204488,120.0,no_management,no_management,,0,,,False,,False,,
TM43326_Baker_O7,43326,374862340489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,45.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
