fvs_run_id,PLT_CN,prescription,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
173002842010854::public_selection_light,173002842010854,public_selection_light,10,2027,2072,2249.457244873047,4,123.42182159423828,3256.193115234375
173002842010854::public_thin_restore,173002842010854,public_thin_restore,10,2027,2072,946.3477630615234,3,162.7888641357422,4340.185546875
173002845010854::family_light_thin,173002845010854,family_light_thin,10,2027,2072,22.013404846191406,1,126.67662048339844,4007.249755859375
173002845010854::family_uneven_aged_selection,173002845010854,family_uneven_aged_selection,10,2027,2072,1287.2543334960938,3,83.58952331542969,2612.95166015625
173002845010854::no_management,173002845010854,no_management,10,2027,2072,0.0,0,131.6806640625,4112.287109375
173002845010854::pine_plantation_long_rotation,173002845010854,pine_plantation_long_rotation,10,2027,2072,2310.443603515625,1,111.386962890625,2215.970458984375
173002845010854::pine_plantation_short_rotation,173002845010854,pine_plantation_short_rotation,10,2027,2072,2310.443603515625,1,111.386962890625,2215.970458984375
173002845010854::public_selection_light,173002845010854,public_selection_light,10,2027,2072,1838.6563720703125,4,58.62400817871094,1834.99560546875
173002845010854::public_thin_restore,173002845010854,public_thin_restore,10,2027,2072,98.06825160980225,3,120.22430419921875,3864.362060546875
173002897010854::family_light_thin,173002897010854,family_light_thin,10,2027,2072,77.19327545166016,1,153.34422302246094,3895.42041015625
173002897010854::family_uneven_aged_selection,173002897010854,family_uneven_aged_selection,10,2027,2072,1169.2838134765625,3,119.40204620361328,2813.610107421875
173002897010854::no_management,173002897010854,no_management,10,2027,2072,0.0,0,164.26649475097656,4054.909423828125
173002897010854::pine_plantation_long_rotation,173002897010854,pine_plantation_long_rotation,10,2027,2072,1475.305908203125,1,156.3446807861328,3360.64208984375
173002897010854::pine_plantation_short_rotation,173002897010854,pine_plantation_short_rotation,10,2027,2072,1475.305908203125,1,156.3446807861328,3360.64208984375
174758382020004::family_light_thin,174758382020004,family_light_thin,10,2027,2072,40.563690185546875,1,179.6220245361328,2686.260986328125
174758382020004::family_uneven_aged_selection,174758382020004,family_uneven_aged_selection,10,2027,2072,564.7107276916504,3,165.5204315185547,2511.662353515625
174758382020004::no_management,174758382020004,no_management,10,2027,2072,0.0,0,184.54904174804688,2895.434326171875
17498047010478::family_light_thin,17498047010478,family_light_thin,10,2027,2072,207.65187072753906,1,199.7850341796875,5616.23876953125
17498047010478::family_uneven_aged_selection,17498047010478,family_uneven_aged_selection,10,2027,2072,1619.6592712402344,3,188.82998657226562,5281.37255859375
17498047010478::no_management,17498047010478,no_management,10,2027,2072,0.0,0,201.1295623779297,5888.9560546875
17498047010478::pine_plantation_long_rotation,17498047010478,pine_plantation_long_rotation,10,2027,2072,446.3081970214844,1,185.38323974609375,5000.5703125
17498047010478::pine_plantation_short_rotation,17498047010478,pine_plantation_short_rotation,10,2027,2072,446.3081970214844,1,185.38323974609375,5000.5703125
17498047010478::public_selection_light,17498047010478,public_selection_light,10,2027,2072,2304.131072998047,4,194.99720764160156,5210.78515625
17498047010478::public_thin_restore,17498047010478,public_thin_restore,10,2027,2072,872.7651062011719,3,198.3621063232422,5481.9521484375
176548620010854::family_light_thin,176548620010854,family_light_thin,10,2027,2072,85.49703979492188,1,201.65371704101562,4233.6533203125
176548620010854::family_uneven_aged_selection,176548620010854,family_uneven_aged_selection,10,2027,2072,1195.3333892822266,3,176.04241943359375,3487.939697265625
176548620010854::no_management,176548620010854,no_management,10,2027,2072,0.0,0,202.97430419921875,4345.88525390625
176548620010854::pine_plantation_long_rotation,176548620010854,pine_plantation_long_rotation,10,2027,2072,1112.8189697265625,1,182.799072265625,3660.25146484375
176548620010854::pine_plantation_short_rotation,176548620010854,pine_plantation_short_rotation,10,2027,2072,1112.8189697265625,1,182.799072265625,3660.25146484375
176548620010854::public_selection_light,176548620010854,public_selection_light,10,2027,2072,1550.0635986328125,4,151.93716430664062,2880.90576171875
176548620010854::public_thin_restore,176548620010854,public_thin_restore,10,2027,2072,425.3256378173828,3,181.4049835205078,3863.78173828125
176548654010854::family_light_thin,176548654010854,family_light_thin,10,2027,2072,75.19901275634766,1,188.20301818847656,4788.41650390625
176548654010854::family_uneven_aged_selection,176548654010854,family_uneven_aged_selection,10,2027,2072,1988.6658935546875,3,171.4945068359375,4248.35400390625
176548654010854::no_management,176548654010854,no_management,10,2027,2072,0.0,0,189.076904296875,4789.5888671875
176548654010854::pine_plantation_long_rotation,176548654010854,pine_plantation_long_rotation,10,2027,2072,4469.02197265625,2,189.38189697265625,3507.13232421875
176548654010854::pine_plantation_short_rotation,176548654010854,pine_plantation_short_rotation,10,2027,2072,3052.46484375,1,184.41595458984375,3997.974365234375
176548654010854::public_selection_light,176548654010854,public_selection_light,10,2027,2072,3326.2487182617188,4,178.28591918945312,4212.90283203125
176548654010854::public_thin_restore,176548654010854,public_thin_restore,10,2027,2072,513.1017951965332,3,190.43995666503906,5008.7744140625
176548896010854::family_light_thin,176548896010854,family_light_thin,10,2027,2072,34.4548225402832,1,257.3141784667969,8066.7177734375
176548896010854::family_uneven_aged_selection,176548896010854,family_uneven_aged_selection,10,2027,2072,2655.513916015625,3,211.89947509765625,6164.365234375
176548896010854::hardwood_clearcut_regen,176548896010854,hardwood_clearcut_regen,10,2027,2072,3741.376953125,1,166.2698211669922,3271.34033203125
176548896010854::no_management,176548896010854,no_management,10,2027,2072,0.0,0,255.2233123779297,7954.50830078125
176548896010854::public_selection_light,176548896010854,public_selection_light,10,2027,2072,3581.7286376953125,4,159.8957977294922,4393.7431640625
176548896010854::public_thin_restore,176548896010854,public_thin_restore,10,2027,2072,168.90144538879395,3,262.3035583496094,8466.6767578125
176549308010854::family_light_thin,176549308010854,family_light_thin,10,2027,2072,8.814554214477539,1,128.7144775390625,1473.354248046875
176549308010854::family_uneven_aged_selection,176549308010854,family_uneven_aged_selection,10,2027,2072,401.92430114746094,3,105.40113830566406,1092.841796875
176549308010854::hardwood_clearcut_regen,176549308010854,hardwood_clearcut_regen,10,2027,2072,417.7214050292969,1,124.91637420654297,1057.9580078125
176549308010854::no_management,176549308010854,no_management,10,2027,2072,0.0,0,136.3013916015625,1601.579345703125
176859634010854::family_light_thin,176859634010854,family_light_thin,10,2027,2072,131.01409912109375,1,199.1590576171875,5252.2548828125
176859634010854::family_uneven_aged_selection,176859634010854,family_uneven_aged_selection,10,2027,2072,2015.3656005859375,3,159.38351440429688,4011.8037109375
176859634010854::hardwood_clearcut_regen,176859634010854,hardwood_clearcut_regen,10,2027,2072,3933.101318359375,1,130.4733123779297,1949.6812744140625
176859634010854::no_management,176859634010854,no_management,10,2027,2072,0.0,0,200.85842895507812,5115.74267578125
176859634010854::public_selection_light,176859634010854,public_selection_light,10,2027,2072,2984.8585205078125,4,116.79481506347656,2939.093994140625
176859634010854::public_thin_restore,176859634010854,public_thin_restore,10,2027,2072,534.4677734375,3,194.798583984375,5328.14697265625
176859705010854::family_light_thin,176859705010854,family_light_thin,10,2027,2072,310.541259765625,1,180.61172485351562,6854.83154296875
176859705010854::family_uneven_aged_selection,176859705010854,family_uneven_aged_selection,10,2027,2072,2438.3258666992188,3,164.82568359375,6017.79052734375
176859705010854::no_management,176859705010854,no_management,10,2027,2072,0.0,0,181.64251708984375,6877.50732421875
176859705010854::pine_plantation_long_rotation,176859705010854,pine_plantation_long_rotation,10,2027,2072,2736.43701171875,1,173.2626953125,5523.40380859375
176859705010854::pine_plantation_short_rotation,176859705010854,pine_plantation_short_rotation,10,2027,2072,2736.43701171875,1,173.2626953125,5523.40380859375
176859705010854::public_selection_light,176859705010854,public_selection_light,10,2027,2072,3598.0489501953125,4,152.64610290527344,5388.94775390625
176859705010854::public_thin_restore,176859705010854,public_thin_restore,10,2027,2072,1604.68212890625,3,181.0198211669922,6714.35009765625
176859781010854::family_light_thin,176859781010854,family_light_thin,10,2027,2072,257.8672180175781,1,181.028564453125,6006.5078125
176859781010854::family_uneven_aged_selection,176859781010854,family_uneven_aged_selection,10,2027,2072,1856.8842468261719,3,164.1020050048828,5234.9765625
176859781010854::no_management,176859781010854,no_management,10,2027,2072,0.0,0,180.69668579101562,6053.09423828125
176859781010854::pine_plantation_long_rotation,176859781010854,pine_plantation_long_rotation,10,2027,2072,1630.6870422363281,2,221.74063110351562,8448.7197265625
176859781010854::pine_plantation_short_rotation,176859781010854,pine_plantation_short_rotation,10,2027,2072,1094.9749755859375,1,182.88961791992188,6034.42041015625
176859781010854::public_selection_light,176859781010854,public_selection_light,10,2027,2072,2488.1432495117188,4,145.53565979003906,4442.92919921875
176859781010854::public_thin_restore,176859781010854,public_thin_restore,10,2027,2072,837.7464294433594,3,177.162353515625,5851.03369140625
176859785010854::family_light_thin,176859785010854,family_light_thin,10,2027,2072,29.71348762512207,1,175.2034454345703,3425.36328125
176859785010854::family_uneven_aged_selection,176859785010854,family_uneven_aged_selection,10,2027,2072,1277.4735412597656,3,157.01658630371094,2708.705322265625
176859785010854::no_management,176859785010854,no_management,10,2027,2072,0.0,0,175.9998779296875,3517.195556640625
176859834010854::hardwood_clearcut_regen,176859834010854,hardwood_clearcut_regen,10,2027,2072,723.7083129882812,1,64.88715362548828,533.0464477539062
176859834010854::no_management,176859834010854,no_management,10,2027,2072,0.0,0,161.93942260742188,2875.2490234375
176860041010854::family_light_thin,176860041010854,family_light_thin,10,2027,2072,15.089235305786133,1,138.3957061767578,2719.82861328125
176860041010854::family_uneven_aged_selection,176860041010854,family_uneven_aged_selection,10,2027,2072,573.4534111022949,3,122.55833435058594,2482.095947265625
176860041010854::hardwood_clearcut_regen,176860041010854,hardwood_clearcut_regen,10,2027,2072,1999.3746337890625,1,18.286937713623047,0.0
176860041010854::no_management,176860041010854,no_management,10,2027,2072,0.0,0,163.10214233398438,3442.340576171875
176860080010854::family_light_thin,176860080010854,family_light_thin,10,2027,2072,63.47669219970703,1,168.6167449951172,3183.72021484375
176860080010854::family_uneven_aged_selection,176860080010854,family_uneven_aged_selection,10,2027,2072,1302.2774963378906,3,154.45309448242188,2787.946044921875
176860080010854::hardwood_clearcut_regen,176860080010854,hardwood_clearcut_regen,10,2027,2072,2489.605712890625,1,150.57330322265625,2185.43310546875
176860080010854::no_management,176860080010854,no_management,10,2027,2072,0.0,0,168.2286834716797,3208.272216796875
176860080010854::public_selection_light,176860080010854,public_selection_light,10,2027,2072,2072.4637756347656,4,155.1268768310547,2563.51513671875
176860080010854::public_thin_restore,176860080010854,public_thin_restore,10,2027,2072,299.8052062988281,3,174.7034149169922,3469.441650390625
176860101010854::family_light_thin,176860101010854,family_light_thin,10,2027,2072,156.49400329589844,1,179.51100158691406,7128.5458984375
176860101010854::family_uneven_aged_selection,176860101010854,family_uneven_aged_selection,10,2027,2072,2726.0525512695312,3,159.7210693359375,6256.59912109375
176860101010854::no_management,176860101010854,no_management,10,2027,2072,0.0,0,179.4550018310547,7115.83984375
176860101010854::pine_plantation_long_rotation,176860101010854,pine_plantation_long_rotation,10,2027,2072,4355.12890625,2,221.88299560546875,8230.5517578125
176860101010854::pine_plantation_short_rotation,176860101010854,pine_plantation_short_rotation,10,2027,2072,3165.645751953125,1,179.6642608642578,6159.65283203125
176860101010854::public_selection_light,176860101010854,public_selection_light,10,2027,2072,4334.907958984375,4,153.15591430664062,5918.14208984375
176860101010854::public_thin_restore,176860101010854,public_thin_restore,10,2027,2072,753.8313064575195,3,179.43397521972656,7139.388671875
176860109010854::family_light_thin,176860109010854,family_light_thin,10,2027,2072,142.23599243164062,1,211.734130859375,6630.24755859375
176860109010854::family_uneven_aged_selection,176860109010854,family_uneven_aged_selection,10,2027,2072,2752.3960571289062,3,193.2404327392578,5702.00048828125
176860109010854::no_management,176860109010854,no_management,10,2027,2072,0.0,0,212.7530517578125,6695.341796875
176860221010854::family_light_thin,176860221010854,family_light_thin,10,2027,2072,192.8310089111328,1,155.27684020996094,3586.02099609375
176860221010854::family_uneven_aged_selection,176860221010854,family_uneven_aged_selection,10,2027,2072,965.7837219238281,3,141.1013946533203,3238.852783203125
176860221010854::hardwood_clearcut_regen,176860221010854,hardwood_clearcut_regen,10,2027,2072,1909.834228515625,1,71.37090301513672,1012.6017456054688
176860221010854::no_management,176860221010854,no_management,10,2027,2072,0.0,0,158.4508056640625,3862.663330078125
176860221010854::public_selection_light,176860221010854,public_selection_light,10,2027,2072,1299.469612121582,4,136.36361694335938,3067.99169921875
176860221010854::public_thin_restore,176860221010854,public_thin_restore,10,2027,2072,938.6303482055664,3,138.7883758544922,3054.904052734375
176860271010854::family_light_thin,176860271010854,family_light_thin,10,2027,2072,10.42965316772461,1,175.2061309814453,4094.432861328125
176860271010854::family_uneven_aged_selection,176860271010854,family_uneven_aged_selection,10,2027,2072,1587.506103515625,3,161.64016723632812,3042.606689453125
