"FORTYPCD","ForTypName","N_PLOTS","N_PIXELS","TM_ACRES","TM_BAA_mean","TM_TPA_mean","TM_CARB_mean","TM_BAA_sd","TM_TPA_sd","TM_CARB_sd","TM_BAA_CV","TM_TPA_CV","TM_CARB_CV","ESS","FIA_BAA","FIA_BAA_SE","FIA_TPA","FIA_TPA_SE","FIA_CARB","FIA_CARB_SE","FIA_ACRES","FIA_ACRES_SE","BAA_bias_abs","TPA_bias_abs","CARB_bias_abs","BAA_bias_pct","TPA_bias_pct","CARB_bias_pct","BAA_z","TPA_z","CARB_z","AREA_SCALE","AREA_PCT_DIFF","BAA_contrib_before","TPA_contrib_before","CARB_contrib_before","BAA_contrib_after","TPA_contrib_after","CARB_contrib_after","BAA_scaling_effect","TPA_scaling_effect","CARB_scaling_effect"
520,"Mixed upland hardwoods",263,8929861,1985955.04896097,70.4558168469252,343.603725884423,19.0757207609391,24.5726248563564,318.052366442301,8.88206145179403,0.348766446207611,0.925637129293772,0.46562127654865,41.7524693713826,91.1716626638885,4.16978579718531,479.631793567282,5.36222065417508,28.1939389403461,4.67689130883639,1554051.88596956,5.45887922963097,-20.7158458169633,-136.028067682859,-9.11821817940699,-22.7218032573717,-28.3609363489323,-32.3410581213917,-0.843045703829422,-0.427690789427081,-1.02658805378624,0.782521178806451,27.7920683917157,-41140738.5936952,-270145627.815178,-18108371.430921,-32193499.2613065,-211394675.127342,-14170184.1583894,8947239.33238878,58750952.6878362,3938187.27253164
608,"Sweetbay / swamp tupelo / red maple",238,5813510,1292894.65274824,88.5380352119804,714.283258688813,18.1323118683893,53.8269172871981,446.919749997105,13.5437086688727,0.607952471029248,0.625689801014659,0.746937774243998,35.7022494342485,114.172961000358,4.12291836961372,708.874634152208,4.99348685182421,24.4050946805597,4.592228202419,1464556.73216141,5.50185580987654,-25.634925788378,5.40862453660463,-6.27278281217034,-22.4527117136758,0.762987455895242,-25.7027595847315,-0.476247332753624,0.0121020038533532,-0.463151044188285,1.1327734468143,-11.7210945567007,-33143258.4753919,6992781.74209907,-8110047.35570612,-37543803.141827,7921237.47681768,-9186846.29695043,-4400544.66643511,928455.73471861,-1076798.94124431
508,"Sweetgum / yellow-poplar",23,245572,54613.9467661862,63.2786935790725,529.742160384734,14.6101252178587,20.6607006476793,505.121667870596,6.20454224062411,0.326503274310837,0.953523630257677,0.424674131679582,4.00930536837499,78.2476080604528,15.2541521646349,446.333133628686,19.8544028276623,20.3008492445621,16.2129240521882,126026.205784264,18.5443981613798,-14.9689144813803,83.409026756048,-5.69072402670338,-19.1301879411004,18.6876170446798,-28.0319505758003,-0.724511464380645,0.16512660624453,-0.917186765115963,2.30758282904931,-56.6646108035053,-817511.498633696,4555296.14707421,-310792.899055435,-1886475.49679748,10511723.1702229,-717180.357250776,-1068963.99816379,5956427.0231487,-406387.458195341
605,"Overcup oak / water hickory",26,250190,55640.9661583248,99.0624172724729,491.643092569647,29.3754299532355,26.5679818467155,246.035072456881,9.05183139284039,0.268194362486025,0.500434311343503,0.308142941473556,3.02473972660485,120.07284672277,26.2787882747566,533.747250133333,24.2051478437355,33.1633904811739,26.1605227496614,21713.7782210516,49.2314955292343,-21.0104294502972,-42.1041575636863,-3.7879605279384,-17.4980689004626,-7.88840739754039,-11.4221147867518,-0.790817668105814,-0.171130713776855,-0.418474490248958,0.390248044206596,156.247280376017,-1169040.59401585,-2342716.00612584,-210765.78354409,-456215.805412804,-914240.339522098,-82250.9348137521,712824.788603049,1428475.66660374,128514.848730338
141,"Longleaf pine",199,5315607,1182163.59246155,63.5582150795572,298.295483511102,16.7275936332389,25.6865903530419,235.742573210542,8.93173659359684,0.404142726803915,0.790298835355207,0.533952270089158,26.9873808730933,54.3086469113164,3.90838870398599,304.904401537477,6.5695084634222,14.3133097152232,4.43474416239643,1017580.52488062,6.71557925901613,9.24956816824086,-6.60891802637462,2.41428391801572,17.0314833719665,-2.16753775709673,16.8674049961203,0.360093264271857,-0.0280344697029848,0.270303976468196,0.86077809481662,16.1739600509978,10934502.7344856,-7812822.2763429,2854078.5497436,9412180.43155762,-6725106.27417128,2456728.29650528,-1522322.30292797,1087716.00217161,-397350.253238324
409,"Other pine / hardwood",17,136582,30375.1326585248,48.140206875723,512.682523465757,9.0879951970245,32.0955452388069,309.158062661924,8.79362145113509,0.666709748914533,0.603020482484954,0.967608505560634,5.94122194993165,57.0530496777485,13.7070087588352,480.534803172964,11.7725866794423,13.5997606473406,14.6010612678623,177135.286701234,16.2479494122725,-8.91284280202547,32.1477202927925,-4.51176545031609,-15.6220269597641,6.68998792189901,-33.1753298261051,-0.277697192420613,0.103984738473236,-0.513072512318995,5.83158890835399,-82.852014850233,-270728.782476101,976491.268562721,-137045.4740775,-1578778.96505981,5694495.65085488,-799192.866570463,-1308050.18258371,4718004.38229216,-662147.392492963
602,"Sweetgum / Nuttall oak / willow oak",167,2354390,523604.198063465,104.811935601196,553.884966742978,25.1206194937967,30.6309903811577,343.186832301936,7.61053249258948,0.292247158736835,0.61959947084317,0.30295958642536,19.5634936153572,123.792217480548,3.6259699067005,490.496863094963,5.9999084406521,34.4696817847951,4.58348831780163,681323.639613487,8.38210158234579,-18.9802818793522,63.3881036480146,-9.34906229099843,-15.3323708595289,12.923243432801,-27.1225662869983,-0.619643101420179,0.184704358331108,-1.22843733997612,1.30121882546653,-23.1489753738027,-9938155.27245674,33190277.1773825,-4895208.26352361,-12931714.7309302,43187813.4856623,-6369737.14707626,-2993559.45847345,9997536.30827983,-1474528.88355265
982,"Mangrove",16,1738300,386588.958283768,40.7434763951562,1459.76494598171,5.32560029914284,15.2773057970763,1130.12350950412,2.37451129843507,0.374963237032286,0.774181838394604,0.445867351107302,5.8107727627659,47.217745882937,11.9989842174093,1418.82155093702,13.4886010990313,6.08559319246189,12.7904419555354,279434.491761996,13.8181941471899,-6.47426948778083,40.9433950446846,-0.759992893319047,-13.7115174956296,2.88573253046831,-12.4883946278308,-0.423783458534936,0.0362291330994875,-0.320062866754907,0.72282067496838,38.346900501116,-2502881.09692958,15828264.4389254,-293804.860931277,-1809134.20384824,11440996.7853221,-212368.227887337,693746.89308134,-4387267.65360334,81436.6330439404
142,"Slash pine",555,19061638,4239210.01990582,76.9620089623935,412.205377117119,18.839139570272,27.5640066649139,284.696571066617,8.6546983470262,0.358150820600106,0.690666805604836,0.459399874115442,80.1402066142925,68.0724485832704,2.2865087009082,377.22229812682,3.05369587597803,17.8823662502669,2.55501588609351,4177667.71653614,3.10813918278431,8.88956037912307,34.9830789902991,0.956773320005123,13.0589696185951,9.27386296197634,5.35037313638985,0.322506103237834,0.122878469730896,0.110549586090875,0.985482600984452,1.47312585742717,37684713.4317363,148300618.982833,4055963.04494428,37137629.4100612,146147679.722806,3997081.0110285,-547084.021675088,-2152939.26002648,-58882.0339157721
161,"Loblolly pine",387,5619710,1249794.53187417,81.9272610844332,649.211607312477,15.1704644688071,34.3282834274362,473.390203650088,9.20813887530988,0.419009289130976,0.729177048466167,0.606978045678383,44.2849642993706,73.7285001988854,4.4387746509357,462.031819142575,5.76297118817614,16.5646302903053,5.10809354315827,1183392.12666245,6.39362124553871,8.19876088554783,187.179788169902,-1.39416582149822,11.120205705299,40.5123154758615,-8.41652241592238,0.238833989554955,0.395402749627362,-0.151405820478712,0.946869342505327,5.61119207367032,10246766.5229015,233936275.732109,-1742420.82023433,9702349.08034536,221507087.590607,-1649844.85642288,-544417.442556163,-12429188.1415021,92575.9638114579
