fvs_run_id,PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac,base_prescription,offset_years
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,8,2062,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,9,2067,481.2630920410156,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+15y,134677819010854,family_uneven_aged_selection@+15y,10,2072,0.0,family_uneven_aged_selection,15
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,0,2022,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,1,2027,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,2,2032,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,3,2037,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,4,2042,146.58236694335938,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,5,2047,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,6,2052,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,7,2057,359.9384765625,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,8,2062,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,9,2067,0.0,family_uneven_aged_selection,5
134677819010854::family_uneven_aged_selection@+5y,134677819010854,family_uneven_aged_selection@+5y,10,2072,0.0,family_uneven_aged_selection,5
134677819010854::no_management,134677819010854,no_management,0,2022,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,1,2027,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,2,2032,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,3,2037,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,4,2042,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,5,2047,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,6,2052,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,7,2057,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,8,2062,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,9,2067,0.0,no_management,0
134677819010854::no_management,134677819010854,no_management,10,2072,0.0,no_management,0
134677819010854::pine_plantation_long_rotation,134677819010854,pine_plantation_long_rotation,0,2022,0.0,pine_plantation_long_rotation,0
